epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59099.50000,652752069.1826417446136475,345454.6655312905786559,322759.3809960185317323,50021.9852439138994669,-0.6346207833391853,0.5692612413094056,0.3249343182054605
59099.75000,652773669.1826417446136475,331361.5105725954636000,334659.9333115537883714,57058.6754111462432775,-0.6701703372719964,0.5324672421286907,0.3265186603488243
59100.00000,652795269.1826417446136475,316508.9226406592060812,345754.3356590137118474,64123.4408636389562162,-0.7049398710762610,0.4946133915010715,0.3275264665696164
59100.25000,652816869.1826417446136475,300913.6899207867099904,356019.3925236388458870,71203.3380231196206296,-0.7389341038430777,0.4556706633423956,0.3279118462470765
59100.50000,652838469.1826417446136475,284592.5545709262951277,365431.2179258672404103,78284.3994736082531745,-0.7721525699821701,0.4156041983675551,0.3276258237208431
59100.75000,652860069.1826417446136475,267562.3250300001818687,373965.1123368926928379,85351.5625171571155079,-0.8045895997558630,0.3743735683472179,0.3266158689782711
59101.00000,652881669.1826417446136475,249839.9880501463776454,381595.4448808893212117,92388.5858637734345393,-0.8362343664360824,0.3319329980004146,0.3248252603970028
59101.25000,652903269.1826417446136475,231442.8188643355097156,388295.5396672725910321,99377.9502638611302245,-0.8670710144362208,0.2882315209479314,0.3221922245577660
59101.50000,652924869.1826417446136475,212388.4875586472335272,394037.5644986266852356,106300.7374923286697594,-0.8970788856352225,0.2432130374602874,0.3186487770029039
59101.75000,652946469.1826417446136475,192695.1593298860825598,398792.4193795942119323,113136.4801248672738438,-0.9262328621965628,0.1968162296961719,0.3141191554369436
59102.00000,652968069.1826417446136475,172381.5859413963626139,402529.6211269964696839,119862.9717059866816271,-0.9545038405460411,0.1489742737011865,0.3085176877278258
59102.25000,652989669.1826417446136475,151467.1854899831523653,405217.1788462700205855,126456.0227667475410271,-0.9818593377876189,0.0996142659009877,0.3017458633471260
59102.50000,653011269.1826417446136475,129972.1078870154888136,406821.4529850839753635,132889.1420291818794794,-1.0082641984507954,0.0486562555592408,0.2936882661180133
59102.75000,653032869.1826417446136475,107917.2848220346786547,407306.9880281388177536,139133.1130841860722285,-1.0336812983816710,-0.0039882532629989,0.2842068610742701
59103.00000,653054469.1826417446136475,85324.4665707051462959,406636.3057025093003176,145155.4234020090661943,-1.0580720004148234,-0.0584184866016257,0.2731328834479346
59103.25000,653076069.1826417446136475,62216.2559605017668218,404769.6422340003773570,150919.4826608893636148,-1.0813958419277685,-0.1147474155086248,0.2602552200421934
59103.50000,653097669.1826417446136475,38616.1660464637825498,401664.6109779688413255,156383.5382314049056731,-1.1036084166667051,-0.1731056402004168,0.2453036658627428
59103.75000,653119269.1826417446136475,14548.7597884698043345,397275.7738128087366931,161499.1537078036635648,-1.1246554519255734,-0.2336458594233604,0.2279247622996847
59104.00000,653140869.1826417446136475,-9960.0096919808511302,391554.1183983480441384,166209.0584500870609190,-1.1444593263623211,-0.2965468219523000,0.2076471454330429
59104.25000,653162469.1826417446136475,-34882.0279944359499495,384446.4798831615480594,170444.1029503932804801,-1.1628911488099145,-0.3620137710379656,0.1838328039363577
59104.50000,653184069.1826417446136475,-60185.3859955069929129,375895.0488809231319465,174118.9820933204900939,-1.1797162163965478,-0.4302683138275638,0.1556115170204384
59104.75000,653205669.1826417446136475,-85831.1069740843377076,365837.3394397223601118,177126.3750304402201436,-1.1944925662948163,-0.5015123982630028,0.1218011794715120
59105.00000,653227269.1826417446136475,-111766.9156251976673957,354207.4698784676147625,179329.3667924914043397,-1.2063929746811171,-0.5758360250206803,0.0808343864739261
59105.25000,653248869.1826417446136475,-137916.0508164338534698,340940.4955738721764646,180552.8769189147278666,-1.2139204627151039,-0.6530162976116620,0.0307568482146315
59105.50000,653270469.1826417446136475,-164158.8147592774766963,325982.8609079446760006,180577.1337965032435022,-1.2145309776077744,-0.7321417672405305,-0.0305451441555052
59105.75000,653292069.1826417446136475,-190306.3095511308638379,309313.0673640283057466,179140.9371996718400624,-1.2043401503683575,-0.8110540982609977,-0.1046135873754449
59106.00000,653313669.1826417446136475,-216073.0047832955897320,290974.4947252377751283,175968.4664882633660454,-1.1784253281804207,-0.8858601883877485,-0.1909628717193343
59106.25000,653335269.1826417446136475,-241068.8995783974824008,271111.8465632338193245,170832.3047638275602367,-1.1324318254504155,-0.9512387257709862,-0.2853648185287763
59106.50000,653356869.1826417446136475,-264840.5378361430484802,249985.1395217989629600,163641.3760391413816251,-1.0652956502236324,-1.0022555249158138,-0.3796291818136067
59106.75000,653378469.1826417446136475,-286964.3248280042898841,227933.4090525656065438,154501.1755081557203084,-0.9808682341133170,-1.0368818341569341,-0.4644443231613169
59107.00000,653400069.1826417446136475,-307141.0230004996410571,205297.9062921472359449,143691.8769039050384890,-0.8862851756084393,-1.0568509434536353,-0.5335306269048585
59107.25000,653421669.1826417446136475,-325229.4117253440781496,182354.9210825599438976,131577.6254437541356310,-0.7884983205078815,-1.0660534238117632,-0.5853752905535771
59107.50000,653443269.1826417446136475,-341214.7971403300762177,159293.7834463888430037,118514.4432597068080213,-0.6921058074330425,-1.0683548560429021,-0.6218700570415683
59107.75000,653464869.1826417446136475,-355154.4132820618106052,136231.6662551675690338,104800.9197527152282419,-0.5992771968701082,-1.0664942567614166,-0.6461217694731152
59108.00000,653486469.1826417446136475,-367133.7645809356472455,113239.7423778645170387,90668.8135277750989189,-0.5106185885009060,-1.0620356136839844,-0.6610679064669213
59108.25000,653508069.1826417446136475,-377242.2119233804405667,90364.9665344533423195,76293.1445837723877048,-0.4259908884871514,-1.0557232973283117,-0.6689974456462324
59108.50000,653529669.1826417446136475,-385562.7797788549796678,67643.7844424961076584,61806.7376215386393596,-0.3450031749424358,-1.0478360792925172,-0.6715469790644942
59108.75000,653551269.1826417446136475,-392169.5811440274119377,45109.3883376593366847,47312.8266355984669644,-0.2672445366277524,-1.0384267105798741,-0.6698470587969615
59109.00000,653572869.1826417446136475,-397128.4812600662116893,22794.9710626842570491,32894.2848269730166066,-0.1923689097246109,-1.0274584970948648,-0.6646754589940588
59109.25000,653594469.1826417446136475,-400498.7536030095070601,734.8167623995069562,18619.8911529640245135,-0.1201117429311735,-1.0148747766382433,-0.6565759828024456
59109.50000,653616069.1826417446136475,-402334.7602992662577890,-21035.6547949963569408,4548.4368342425686933,-0.0502802470306439,-1.0006301847035539,-0.6459406729586178
59109.75000,653637669.1826417446136475,-402687.3224631109624170,-42480.2775045221205801,-9268.6217143836111063,0.0172635720524892,-0.9847017857972460,-0.6330637633858703
59110.00000,653659269.1826417446136475,-401604.7222697764518671,-63562.6481994219138869,-22785.4508767787010584,0.0826193111557059,-0.9670902777194782,-0.6181761660765643
59110.25000,653680869.1826417446136475,-399133.3827233124757186,-84246.6068147746700561,-35960.7252614547396661,0.1458614289630153,-0.9478167335665587,-0.6014672366565721
59110.50000,653702469.1826417446136475,-395318.2994036237942055,-104496.6249289385596057,-48756.8891232685637078,0.2070489809345764,-0.9269177003500326,-0.5830984424703898
59110.75000,653724069.1826417446136475,-390203.2965356092900038,-124278.0840883279597620,-61139.6538069751622970,0.2662322494616817,-0.9044400508215803,-0.5632119444726184
59111.00000,653745669.1826417446136475,-383831.1677026710822247,-143557.4465379448083695,-73077.6435568626184249,0.3234569027570905,-0.8804362375395129,-0.5419360015197514
59111.25000,653767269.1826417446136475,-376243.7478029982303269,-162302.3303823154419661,-84542.1349333930847934,0.3787662981578496,-0.8549602137130483,-0.5193883873541678
59111.50000,653788869.1826417446136475,-367481.9505000520148315,-180481.5046013084356673,-95506.8554880746087292,0.4322024518911312,-0.8280640940757197,-0.4956785552585308
59111.75000,653810469.1826417446136475,-357585.7952856440097094,-198064.8198283566744067,-105947.8199218396039214,0.4838060923246671,-0.7997955389904478,-0.4709090024730434
59112.00000,653832069.1826417446136475,-346594.4403025812353007,-215023.0899534291529562,-115843.1897025773214409,0.5336161205735536,-0.7701958060752371,-0.4451761143837288
59112.25000,653853669.1826417446136475,-334546.2309257567394525,-231327.9382305479084607,-125173.1469709469529334,0.5816687267687438,-0.7392984001487639,-0.4185706675131791
