epoch (MJD),epoch (seconds TDB),x [km],y [km],z [km],vx [km/s],vy [km/s],vz [km/s]
59105.50000,653270469.1826417446136475,-175922.4940442750230432,300011.1825517297838815,149760.6084777779178694,-0.8787856505706607,-0.5302616415422232,-0.1506688882291868
59105.75000,653292069.1826417446136475,-194591.6626668147218879,288040.2978226502309553,146246.4666845686442684,-0.8492814011844434,-0.5779258136070943,-0.1746679513070274
59106.00000,653313669.1826417446136475,-212587.3801054566283710,275055.3841500662383623,142217.3151748179807328,-0.8164345968721606,-0.6241180716774635,-0.1983388129363828
59106.25000,653335269.1826417446136475,-229837.8686508292739745,261090.5260269033606164,137681.3026770540163852,-0.7802872107379977,-0.6686256600800664,-0.2215828049335913
59106.50000,653356869.1826417446136475,-246272.4531678524508607,246184.4381687437708024,132648.7436595890612807,-0.7408995861715651,-0.7112328479376694,-0.2442981478814761
59106.75000,653378469.1826417446136475,-261821.9721425375901163,230380.5135110513074324,127132.1796767811756581,-0.6983517353677344,-0.7517224750991649,-0.2663805130488308
59107.00000,653400069.1826417446136475,-276419.2152516598580405,213726.8352598812780343,121146.4272949311707634,-0.6527444883230522,-0.7898777334410859,-0.2877237033893832
59107.25000,653421669.1826417446136475,-289999.3836793946684338,196276.1480180132202804,114708.6100199791690102,-0.6042004414210811,-0.8254841722387130,-0.3082204535178358
59107.50000,653443269.1826417446136475,-302500.5682922552805394,178085.7833524356829002,107838.1716944379295455,-0.5528646537872071,-0.8583319069164559,-0.3277633444790431
59107.75000,653464869.1826417446136475,-313864.2396734631038271,159217.5357237849384546,100556.8689701362018241,-0.4989050408342706,-0.8882180004295489,-0.3462458245375529
59108.00000,653486469.1826417446136475,-324035.7429619293543510,139737.4854738011490554,92888.7407058242679341,-0.4425124182782725,-0.9149489762221804,-0.3635633222621868
59108.25000,653508069.1826417446136475,-332964.7894975582603365,119715.7665617916645715,84860.0524895618145820,-0.3839001563004334,-0.9383434118447170,-0.3796144331798777
59108.50000,653529669.1826417446136475,-340605.9364948630682193,99226.2779383852175670,76499.2149424202798400,-0.3233034127785893,-0.9582345535439053,-0.3943021564829471
59108.75000,653551269.1826417446136475,-346919.0454262011917308,78346.3388163337076548,67836.6750171432940988,-0.2609779264920674,-0.9744728845305349,-0.4075351537348392
59109.00000,653572869.1826417446136475,-351869.7095265464158729,57156.2896094642928801,58904.7801508925476810,-0.1971983653883490,-0.9869285755008128,-0.4192289983138041
59109.25000,653594469.1826417446136475,-355429.6408990428317338,35739.0418755506470916,49737.6158329370082356,-0.1322562407792179,-0.9954937434904447,-0.4293073816989521
59109.50000,653616069.1826417446136475,-357577.0081130425678566,14179.5821928792647668,40370.8178962750243954,-0.0664574151752600,-1.0000844467941832,-0.4377032418095951
59109.75000,653637669.1826417446136475,-358296.7159686652594246,-7435.5635948291701425,30841.3615864777675597,-0.0001192482580426,-1.0006423490749488,-0.4443597793806882
59110.00000,653659269.1826417446136475,-357580.6202340055024251,-29018.8979695774687571,21187.3301751894177869,0.0664325589152816,-0.9971359942009953,-0.4492313305876078
59110.25000,653680869.1826417446136475,-355427.6716106396634132,-50482.5422321223377367,11447.6665318137602299,0.1328673477855267,-0.9895616453728056,-0.4522840681606314
59110.50000,653702469.1826417446136475,-351843.9848947844584472,-71738.8401148912671488,1661.9116091392781982,0.1988530300264255,-0.9779436568615881,-0.4534965087689733
59110.75000,653724069.1826417446136475,-346842.8312002636375837,-92700.9642252688790904,-8130.0657921888932833,0.2640596682284054,-0.9623343632714760,-0.4528598111771313
59111.00000,653745669.1826417446136475,-340444.5531070730648935,-113283.5148918747581774,-17888.3433609571802663,0.3281630162161344,-0.9428134887162521,-0.4503778572088673
59111.25000,653767269.1826417446136475,-332676.4046007788856514,-133403.1012269739876501,-27573.2190082777487987,0.3908479277350718,-0.9194870956920648,-0.4460671154780221
59111.50000,653788869.1826417446136475,-323572.3195780729292892,-152978.8948242934129667,-37145.4793744268317823,0.4518115486023628,-0.8924861097188417,-0.4399562956974202
59111.75000,653810469.1826417446136475,-313172.6144237060216255,-171933.1474482869380154,-46566.6587367567044566,0.5107662176420065,-0.8619644699687464,-0.4320858086495751
59112.00000,653832069.1826417446136475,-301523.6316377869225107,-190191.6652803313918412,-55799.2843404954255675,0.5674420150653691,-0.8280969670195447,-0.4225070530434559
59112.25000,653853669.1826417446136475,-288677.3326536896056496,-207684.2336971979530063,-64807.1046881765287253,0.6215889123692064,-0.7910768369715752,-0.4112815555700895
59112.50000,653875269.1826417446136475,-274690.8488007429987192,-224344.9881150437286124,-73555.2979367126681609,0.6729784944198342,-0.7511131854653489,-0.3984799939837240
59112.75000,653896869.1826417446136475,-259625.9998178254463710,-240112.7280150171427522,-82010.6582104738190537,0.7214052412636964,-0.7084283151184598,-0.3841811346582121
59113.00000,653918469.1826417446136475,-243548.7894193968677428,-254931.1728465882188175,-90141.7583312944771023,0.7666873727617219,-0.6632550277706218,-0.3684707166263183
59113.25000,653940069.1826417446136475,-226528.8871930292807519,-268749.1599822219577618,-97919.0881440907251090,0.8086672736364393,-0.6158339669477539,-0.3514403128552476
59113.50000,653961669.1826417446136475,-208639.1055909162387252,-281520.7862305906601250,-105315.1682590298878495,0.8472115284229160,-0.5664110582088757,-0.3331861972211701
59113.75000,653983269.1826417446136475,-189954.8800376684521325,-293205.4955621807603166,-112304.6396120434219483,0.8822106050863614,-0.5152350956745136,-0.3138082423820635
59114.00000,654004869.1826417446136475,-170553.7592613013985101,-303768.1166344112716615,-118864.3297484774084296,0.9135782328001739,-0.4625555127696638,-0.2934088698391071
59114.25000,654026469.1826417446136475,-150514.9119249438808765,-313178.8544118482968770,-124973.2971488468610914,0.9412505232555494,-0.4086203647646197,-0.2720920692102282
